Date,SMR,OKLO,NNE,NNE weight,OKLO weight,SMR weight,weightedReturn
2024-03-21,0.9364754230512848,0.9916897365446063,0.0,0.0,0.5,0.5,0.9640825797979455
2024-03-22,0.9299780832294708,1.0055866313682846,0.0,0.0,0.5,0.5,0.9677823572988777
2024-03-25,0.9576470992144417,1.0046296472085026,0.0,0.0,0.5,0.5,0.9811383732114721
2024-03-26,1.0221129415122345,1.01843316149617,0.0,0.0,0.5,0.5,1.0202730515042022
2024-03-27,1.3822115891607574,1.0090497218162273,0.0,0.0,0.5,0.5,1.1956306554884923
2024-03-28,0.923478250918181,1.0242152885202755,0.0,0.0,0.5,0.5,0.9738467697192283
2024-04-01,0.9868172933303772,1.0665499320319158,0.0,0.0,0.5,0.5,1.0266836126811465
2024-04-02,1.0916030610762906,1.034482764020578,0.0,0.0,0.5,0.5,1.0630429125484344
2024-04-03,1.1258741771745213,1.021428531421827,0.0,0.0,0.5,0.5,1.0736513542981743
2024-04-04,0.9565217069378102,1.0023309816035704,0.0,0.0,0.5,0.5,0.9794263442706903
2024-04-05,0.9902597493075024,1.015503935570057,0.0,0.0,0.5,0.5,1.0028818424387798
2024-04-08,0.9737705164076151,1.2251907457776616,0.0,0.0,0.5,0.5,1.0994806310926384
2024-04-09,0.9444444578237137,0.8822430230847426,0.0,0.0,0.5,0.5,0.9133437404542282
2024-04-10,0.9661318979146917,0.9300847611732781,0.0,0.0,0.5,0.5,0.9481083295439849
2024-04-11,0.9815498333533336,1.0182232171395478,0.0,0.0,0.5,0.5,0.9998865252464406
2024-04-12,0.9906014682102446,0.9515287378130947,0.0,0.0,0.5,0.5,0.9710651030116697
2024-04-15,0.9203035905476217,0.9796238068794596,0.0,0.0,0.5,0.5,0.9499636987135407
2024-04-16,1.0247422449316879,1.0176000213623047,0.0,0.0,0.5,0.5,1.0211711331469964
2024-04-17,0.9919517175972588,0.9984276370012731,0.0,0.0,0.5,0.5,0.9951896772992659
2024-04-18,0.991886417191518,0.9976378162660046,0.0,0.0,0.5,0.5,0.9947621167287612
2024-04-19,0.9918200484774706,0.9865824723543591,0.0,0.0,0.5,0.5,0.9892012604159148
2024-04-22,1.0164948299544585,1.0063999938964843,0.0,0.0,0.5,0.5,1.0114474119254715
2024-04-23,1.111561908698932,1.0333863337711542,0.0,0.0,0.5,0.5,1.072474121235043
2024-04-24,1.0036496315432304,1.0307692014254057,0.0,0.0,0.5,0.5,1.017209416484318
2024-04-25,1.0709090666337446,0.9701492813494463,0.0,0.0,0.5,0.5,1.0205291739915956
2024-04-26,1.0288624923849752,0.985384647662823,0.0,0.0,0.5,0.5,1.0071235700238992
2024-04-29,1.003300326916726,1.1256830291911435,0.0,0.0,0.5,0.5,1.0644916780539346
2024-04-30,0.9539474117623807,0.9528432523177527,0.0,0.0,0.5,0.5,0.9533953320400668
2024-05-01,0.9879310052828623,1.0145560271176672,0.0,0.0,0.5,0.5,1.0012435162002649
2024-05-02,1.0523560540551922,0.9189383647932986,0.0,0.0,0.5,0.5,0.9856472094242454
2024-05-03,1.021558811456143,1.1576892613520928,0.0,0.0,0.5,0.5,1.0896240364041179
2024-05-06,0.9464285824869474,1.0080916983261248,0.0,0.0,0.5,0.5,0.9772601404065361
2024-05-07,0.970840466806408,0.9591973468588806,0.0,0.0,0.5,0.5,0.9650189068326442
2024-05-08,1.0335689156082455,1.0578800498517615,0.0,0.0,0.5,0.5,1.0457244827300034
2024-05-09,1.0017094408623695,1.201713872811657,0.9730250741922778,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0588161292887681
2024-05-10,1.0716723663352647,0.4635216687574612,0.8930693185232439,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8094211178719899
2024-05-13,1.0159235511610947,1.1562130980229373,0.9157427726926898,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0292931406255739
2024-05-14,1.1520375819423714,1.1432957577210523,0.7893462227917072,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.028226520818377
2024-05-15,0.9537415401139752,0.9194270714070684,1.2638036495741267,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0456574203650568
2024-05-16,0.8687589092360566,0.9386562720194754,0.9902912711252176,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9325688174602498
2024-05-17,1.0361247593890721,0.9346472933605968,0.96078435039117,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9771854677136129
2024-05-20,1.1489698994840865,0.8612652643456006,0.9770407778478977,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9957586472258616
2024-05-21,1.0206896683265423,0.9587628656929194,1.0078328908583218,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9957618082925945
2024-05-22,0.9905405174649662,0.962365563487246,1.018134759990619,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9903469469809436
2024-05-23,0.9099590921853089,1.0600559098239646,1.0127226339610578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.994245878656777
2024-05-24,1.1664168097178125,1.3372858253592423,1.105527656854564,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2030767639772062
2024-05-28,1.2185089057304608,1.063054223386801,1.247727193664915,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.1764301075940589
2024-05-29,0.9356540415472059,1.0222427962897738,1.258652119397945,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0721829857449747
2024-05-30,0.9819616855156222,0.9320036248271087,1.2662807804948066,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0600820302791791
2024-05-31,1.0022961543055986,0.9795719801943733,0.8537142617361886,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9451941320787202
